t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
7.24,2.61261265910811,1.0060283648050792,1.0,-0.4674153258732317,0.12329447306615782,0.41012729783343604,-0.7733802335345812,2.8444781881571304,-3.1458381805305375,0.0,-0.5448153620662736,2.1194847610214778,1.6683429782532455e-05,-8.894647905603318,-8.042572601289761,0.0,3.79453039262867,0.9753872675659192,-6.714073741420634e-12,3.356526269305082,3.3697979128677353,3.4198958298561557,3.4101771950854594,-22.739838300157018,25.149024464860098,0.0,71.10719145337902,64.2953780528338,0.0
7.26,2.6676934523505342,0.9415370419360518,1.0,-0.47541078350597077,0.14209502712365343,0.40399867671014184,-0.7684911576650844,2.662133268626069,-3.301575454394407,0.0,-0.4685907358571027,2.1376300318848074,1.6683429739927647e-05,-9.334984673518068,-7.527004487633377,0.0,3.827016015094403,0.838921714202856,5.417888360170764e-12,3.357226087717217,3.3686539886785103,3.419431479486619,3.411085651232089,-21.28210380169778,26.39404734452791,0.0,74.62741071246306,60.173730860714244,0.0
7.28,2.719041246649642,0.874035719502863,1.0,-0.483355107382838,0.16059263505416138,0.3970087317467696,-0.763519425195003,2.4712777758287374,-3.446757922407712,0.0,-0.39176538650583076,2.1530349074925907,1.6683429795077975e-05,-9.745478430964637,-6.987373294970956,0.0,3.8545954861877783,0.7013806813741752,-6.994405055138486e-12,3.357969728994121,3.3675333128394787,3.4189312060206247,3.4119629592602103,-19.75633255023324,27.55469109999266,0.0,77.9090536185057,55.859714281520674,0.0
7.3,2.766491888253022,0.8037401924684959,1.0,-0.4912474430362194,0.1787478600188636,0.3891723654828207,-0.758465570868948,2.2725218556484856,-3.5809214507700826,0.0,-0.31443780244133457,2.1656796391299893,1.668342969096681e-05,-10.124816870539256,-6.425404170144775,0.0,3.8772334496038616,0.5629404938064297,6.436517985264345e-12,3.3587557720144723,3.366437789822391,3.4183951830095127,3.412808462268057,-18.16740228354484,28.627245269485314,0.0,80.9416290880154,51.36711979391541,0.0
7.32,2.809893682214881,0.7308751885879973,1.0,-0.4990869415901986,0.1965219951382965,0.38050628502520273,-0.7533301382643098,2.066500910843196,-3.703637132126958,0.0,-0.23670711594608188,2.175548016525082,1.6683429800767868e-05,-10.471787285267178,-5.842893672127441,0.0,3.894900884000199,0.4237786286998446,-5.334621633323877e-12,3.3595827285142272,3.365369304637441,3.4178236170483323,3.4136215569144333,-16.52039265245567,29.608281004815332,0.0,83.71544228113505,46.71030977223618,0.0
7.34,2.8491078773495557,0.6556736499764004,1.0,-0.506872759851859,0.2138771460152779,0.3710289664287372,-0.7481136797327946,1.8538735697264386,-3.8145126567433363,0.0,-0.15867297607136124,2.182627388633023,1.668342969479708e-05,-10.785280445505133,-5.241704028603178,0.0,3.907575140080205,0.2840734886586205,7.87148124459236e-12,3.3604490474543396,3.3643297179586136,3.4172167499744037,3.4144016917270763,-14.820568981696592,30.494662033054123,0.0,86.22162559507177,41.90417157142689,0.0
7.36,2.8840091098051728,0.5783759884160935,1.0,-0.5146040604019745,0.2307763115256481,0.3607606153052665,-0.7428167563410129,1.6353195805986611,-3.9131935666787525,0.0,-0.0804354208888621,2.186908679852029,1.6683429763464375e-05,-11.064294145037527,-4.623757182612266,0.0,3.915239969735948,0.14400417251856368,-6.494804694057166e-12,3.361353119529576,3.3633208612164323,3.416574861073752,3.415148365294675,-13.073365437189963,31.28355468288581,0.0,88.45216701293577,36.96406993365363,0.0
7.38,2.9144858038392965,0.499229316784481,1.0,-0.5222800116850808,0.2471834627045325,0.3497231237453631,-0.7374399378101342,1.4115376386600995,-3.999364388953728,0.0,-0.002094749244512001,2.1883864016603565,1.6683429686192852e-05,-11.307936405029098,-3.9910286482920467,0.0,3.9178855468243454,0.0037502462112648516,5.295763827461997e-12,3.362293281783739,3.3623445316987373,3.4158982692798956,3.4158611243520607,-11.284367653566626,31.97243694356999,0.0,90.39993571735414,31.905797868766086,0.0
7.4,2.940440528515415,0.4184866590588423,1.0,-0.5298997880989144,0.26306361955998586,0.3379400236444575,-0.7319838024546093,1.183243152352136,-4.072749644085325,0.0,0.0762486078229287,2.187058659650152,1.668342978206061e-05,-11.515428325592008,-3.345541195355909,0.0,3.915508479758531,-0.13650848788113734,-5.46229728115577e-12,3.3632678223296075,3.3614024876585944,3.415187335347755,3.4165395617784786,-9.459294877450926,32.5591065275577,0.0,92.05870488698048,26.74552616562545,0.0
7.42,2.9617903091798654,0.33640614142407277,1.0,-0.5374625700832116,0.2783829256502098,0.3254364365329231,-0.7264489371199683,0.9511659562683205,-4.1331147267673956,0.0,0.15449421583175318,2.1829271559584527,1.6683429685859785e-05,-11.686106575850612,-2.6893583825015392,0.0,3.908111815901466,-0.2765922210142602,2.6645352591003757e-13,3.36427498513603,3.360496443467143,3.4144424639891486,3.4171833145221133,-7.603981683603269,33.0416879109837,0.0,93.42317160301775,21.49975169571544,0.0
7.44,2.9784668927234974,0.25325016706909914,1.0,-0.5449675442078591,0.2931087202653833,0.3122390200170484,-0.7208359371197011,0.7160479779462027,-4.180266655880281,0.0,0.23254176561277248,2.175997187082743,1.668342976951509e-05,-11.819425514543877,-2.024577960420255,0.0,3.8957050376109166,-0.4163213689730494,1.2989609388114332e-12,3.3653129748805473,3.3596280648150323,3.4136641059502666,3.417792061468591,-5.724359322368472,33.41863832952853,0.0,94.48897380211898,16.185244674294932,0.0
7.46,2.9904169657800126,0.16928457731022345,1.0,-0.5524139032603823,0.3072096080601797,0.2983759109451168,-0.7151454061712287,0.4786408659994662,-4.21405469143207,0.0,0.3102912019028431,2.1662776370927244,1.668342969529668e-05,-11.914958934385734,-1.3533251654986016,0.0,3.8783040501094157,-0.5555168019301782,1.1379786002407855e-12,3.366379961832287,3.3587989639953726,3.4128527600197853,3.418365521266991,-3.826436758063738,33.68875271048126,0.0,95.25270422146605,10.818995047703087,0.0
7.48,2.997602325163463,0.084777801723035,1.0,-0.559800846332769,0.320655525988546,0.28387666541973183,-0.709377956330966,0.239703587172521,-4.234370816459275,0.0,0.38764285161400625,2.1537809662402707,1.668342978294879e-05,-11.972401424607124,-0.6777459256502811,0.0,3.855931161078663,-0.694000074472001,3.3584246494910985e-12,3.3674740867585125,3.3580106952761253,3.412008974945571,3.418903450134224,-1.9162814589210035,33.85116752523635,0.0,95.7119212914479,5.4181581782009,0.0
7.5,3.0,8.266365894244634e-16,1.0,-0.56712757890761,0.333417807398011,0.26877219578431144,-0.7035342079284953,2.3372598928719748e-15,-4.241150082346221,0.0,0.46449755161202744,2.1385231949859165,1.6683429705233177e-05,-11.99156934732357,-6.608446658078997e-15,0.0,3.8286150520833617,-0.8315936539421642,-1.049160758270773e-12,3.368593465824574,3.3572647503908417,3.4111333512528716,3.4194056396461447,-1.8684942725394896e-14,33.90536354990785,0.0,95.86515694111348,5.283043091896199e-14,0.0
7.5200000000000005,2.9976023251634625,-0.08477780172303867,1.0,-0.5743933129435579,0.3454692431468998,0.25309470471806744,-0.6976147894998405,-0.23970358717253135,-4.234370816459274,0.0,0.5407567758413665,2.120523883460864,1.6683429770125713e-05,-11.972401424607122,0.6777459256503106,0.0,3.7963907417733145,-0.968121148469514,5.0459636469213365e-12,3.3697361954780236,3.3565625541575743,3.4102265429380427,3.419871914540795,1.916281458921087,33.851167525236335,0.0,95.71192129144787,-5.418158178201136,0.0
7.54,2.990416965780013,-0.1692845773102218,1.0,-0.5815972669600828,0.3567841396141272,0.2368776165800065,-0.6916203377198685,-0.47864086599946154,-4.214054691432071,0.0,0.6163227616334895,2.099806106391437,1.6683429696462415e-05,-11.914958934385737,1.3533251654985885,0.0,3.7592995410310692,-1.1034075326679105,9.43689570931383e-12,3.3709003572884755,3.355905460252204,3.4092892590353077,3.420302130538448,3.826436758063701,33.68875271048127,0.0,95.25270422146608,-10.818995047702982,0.0
7.5600000000000005,2.978466892723497,-0.25325016706910275,1.0,-0.5887386661215306,0.36733837347791864,0.22015550614830096,-0.6855514973338062,-0.7160479779462129,-4.1802666558802795,0.0,0.6910986350365734,2.076396423517944,1.668342980087889e-05,-11.819425514543871,2.024577960420284,0.0,3.717388999937865,-1.2372793724350295,1.280642258905118e-11,3.3720840227342155,3.3552947471468446,3.4083222650290446,3.420696172204328,5.724359322368554,33.418638329528505,0.0,94.48897380211893,-16.185244674295163,0.0
