t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
14.82,-0.8766700929846467,0.7547132385429325,1.0,0.9727431913151301,0.06152349143455458,-0.04385976787424526,-0.21923016333017667,1.6341592805226288,-1.02805465620047,0.0,-0.33130484259587273,-0.004264439647291873,0.00014408260704662328,-1.1144282555425709,-0.9969180707393325,0.0,0.4684007019449099,0.6347379051824673,-0.0006821448556647292,2.1637875134626396,2.1712531522140113,2.1776718167717397,2.1701755945120533,1.3980721118716337,3.011125989255638,0.0,3.5494056157003357,-7.1937576482950565,0.0
14.84,-0.8442079058282904,0.7339567290157681,1.0,0.9729400896413299,0.05835012552387679,-0.043124731483899045,-0.2193697845066869,1.6121549223185407,-1.0474003003200352,0.0,-0.321954668610499,0.007959856442711188,0.0001309622680964618,-1.0857848225441162,-0.9381175201703831,0.0,0.46615346484340514,0.5881747787958089,-0.0006305326300621791,2.1621241105431475,2.169048051195884,2.1754289051439493,2.168488598506805,1.464906790787904,2.8697749155110666,0.0,3.1400534166282696,-6.940043229706474,0.0
14.86,-0.8121799907180406,0.7128248799495956,1.0,0.9731265002527694,0.055292651021088546,-0.042295203251228056,-0.21949636222679073,1.590736265757322,-1.0655978628986742,0.0,-0.3126732343822845,0.019278551700805002,0.0001188403230069409,-1.05588420300814,-0.8820927641579946,0.0,0.46158041475242717,0.5441709705256252,-0.0005822767296756459,2.16057931957089,2.166990879850979,2.173302972540886,2.1668875643469323,1.5239072830413314,2.733568840787769,0.0,2.7656564905881242,-6.679631606237109,0.0
14.88,-0.7805743923989148,0.6913401047180397,1.0,0.9733028323261707,0.05234834381546705,-0.04137957093947495,-0.21961097102489371,1.5699269336790265,-1.0827018226260636,0.0,-0.3035042655130784,0.029742414945395437,0.0001076511977627665,-1.0248762216599798,-0.8287397078898842,0.0,0.4549562790888362,0.5026817204988595,-0.0005372208387770597,2.1591454569878588,2.165073497764234,2.171289564007799,2.1653686361216335,1.5757528960312799,2.6026202617452876,0.0,2.424237135343915,-6.414619157376961,0.0
14.9,-0.749378712231505,0.6695237480763017,1.0,0.9734694842179108,0.04951417920350733,-0.040385643749519425,-0.2197146083747152,1.5497476856591574,-1.0987645564964137,0.0,-0.29448622230684435,0.03940116863543387,9.73324933323614e-05,-0.9928975114771146,-0.7779524069684336,0.0,0.4465329955322117,0.4636476873060666,-0.0004952042564891623,2.1578153788955188,2.163288130808084,2.16938428074836,2.1639281843684097,1.6210835687010676,2.477002565892517,0.0,2.1138390554870212,-6.14682455563072,0.0
14.92,-0.7185801628712359,0.6473961285146518,1.0,0.9736268422753281,0.04678687953101679,-0.039320674419609805,-0.21980819927361742,1.5302166740039334,-1.1138363102765214,0.0,-0.2856527478124395,0.0483032247571853,8.7825048688683e-05,-0.9600722956956309,-0.7296237956892075,0.0,0.43654051746042644,0.4269976405262436,-0.0004560642869190848,2.1565824557353666,2.1616273766880005,2.16758279756633,2.1625627909069087,1.6605004590199501,2.3567553411003814,0.0,1.832542735053014,-5.87781304414132,0.0
14.94,-0.6881656179832377,0.6249765810638249,1.0,0.9737752798761321,0.044162956927634806,-0.03819138277866108,-0.21989260064636626,1.5113496842423246,-1.1279651825094856,0.0,-0.2770330982827527,0.056495471454233434,7.907296057896307e-05,-0.9265131552101122,-0.6836463139081549,0.0,0.42518775887646076,0.3926508457215809,-0.000419638183569819,2.155440546542643,2.160084206667564,2.165880878160483,2.1612692353838727,1.6945668066349282,2.241889211174103,0.0,1.5784776523658268,-5.608919529562484,0.0
14.96,-0.6581216572996593,0.6022835003012825,1.0,0.9739151566690716,0.041638751428544354,-0.037003980313877895,-0.21996860555692926,1.493160360457968,-1.1411971201190003,0.0,-0.2686525536687549,0.06402310442909323,7.10235678438205e-05,-0.8923217764675402,-0.6399124417308291,0.0,0.41266363914005955,0.3605191602346312,-0.00038576475699077586,2.1543839731992924,2.1586519640774333,2.1642743883726903,2.1600444833746604,1.7238090116475484,2.13239022241944,0.0,1.3498317422524015,-5.341270374610694,0.0
14.98,-0.6284346073183954,0.5793343833441368,1.0,0.9740468179909298,0.039210464785241365,-0.03576419537634906,-0.22003694722057987,1.475660415890727,-1.1535759238587382,0.0,-0.2605328064965429,0.07092949752901445,6.36274067495439e-05,-0.857589676057938,-0.5983151507382545,0.0,0.39913819418289087,0.33050885964340526,-0.0003542856590419731,2.153407495027911,2.157324360151373,2.1627593075095493,2.158885675894754,1.7487178782175465,2.0282238079778243,0.0,1.1448584751290278,-5.075803820273007,0.0
15.0,-0.5990905779329979,0.556145872647993,1.0,0.9741705944368423,0.03687419026847277,-0.03447729870557009,-0.22009830281167692,1.458859829303888,-1.1651432620201503,0.0,-0.25269232809023623,0.07725610733639302,5.6838143775226994e-05,-0.8223988991590239,-0.5587482799172785,0.0,0.3847637258957426,0.30252221569496834,-0.0003250463852512604,2.1525062839999944,2.1560954676786195,2.1613317378694927,2.157790120177964,1.7697499787308195,1.9293383577218668,0.0,0.9618818871455534,-4.813289004773522,0.0
15.02,-0.570075495273113,0.5327337984611075,1.0,0.9742868015628547,0.034625938762973034,-0.03314812900565704,-0.22015329706508946,1.4427670276614053,-1.1759386909697656,0.0,-0.24514671161869492,0.08304240700321253,5.0612490542792377e-05,-0.7868226898128481,-0.5211068439029429,0.0,0.36967596643120715,0.27645884672492654,-0.0002978970458373219,2.151675900770206,2.154959712905754,2.1599879126169474,2.1567552815888726,1.7873291006078866,1.8356684218511317,0.0,0.7992998613026869,-4.554343576212717,0.0
15.040000000000001,-0.541375131023435,0.5091132208102731,1.0,0.9743957397015057,0.03246166144642037,-0.03178111835250393,-0.22020250567138733,1.4273890556928106,-1.1859996812336608,0.0,-0.23790899186182687,0.08832584498741441,4.491010574544929e-05,-0.7509261317129832,-0.4852872805785178,0.0,0.3539952388504908,0.25221686122865045,-0.0002726929171512939,2.1509122716943296,2.1539118660673062,2.158724202151059,2.1557787765512266,1.8018477434974947,1.7471375761445873,0.0,0.6555859267478029,-4.299449919315922,0.0
15.06,-0.5129751284775578,0.48529847091924366,1.0,0.9744976938730187,0.030377269334998784,-0.0303803172525808,-0.2202464584676669,1.4127317329437972,-1.1953616479820415,0.0,-0.23098994192906894,0.0931418247571072,3.969348757990737e-05,-0.7147667587747726,-0.451187644525314,0.0,0.33782759864767753,0.22969381482627477,-0.0002492948261306055,2.1502116669488727,2.1529470308820207,2.1575371191142834,2.154858366379183,1.8136686396325208,1.6636609762280572,0.0,0.5292898126596152,-4.0489700348980175,0.0
