# timestamp wx wy wz ax ay az
334.638 1.19296019170738 0.505933693756411 0.0620413984730363 0.416083630033958 -0.994524291945475 11.2772995406353
334.658 1.14179320023608 0.570510925040256 0.0665127350702462 0.455847580445995 -0.972794042303141 11.2567646707138
334.678 1.08618633383629 0.630879392316678 0.0708428256574429 0.494263482070444 -0.949575838141278 11.233498054605
334.698 1.02673446936326 0.686651448043761 0.0750504195472791 0.531129443129104 -0.924954558329636 11.2077239965349
334.718 0.964037699860108 0.737338539834858 0.0791256667023156 0.566343767509591 -0.89881012832476 11.1796097300575
334.738 0.898705415486358 0.782365621443379 0.0829866841886122 0.599884885796952 -0.871008773116125 11.1492853596388
334.758 0.831362043796777 0.821202029558571 0.0865455938610528 0.631694357810201 -0.841961267320586 11.1169439744309
334.778 0.762643808415867 0.853501245386914 0.0897933011577028 0.661749304887294 -0.812058726807972 11.0827863975051
334.798 0.693189464171339 0.879125895623147 0.0927824338971566 0.690049131914111 -0.781490924080449 11.0469856276289
334.818 0.623634378277543 0.898162564545425 0.0955447812058186 0.716564061123843 -0.750254284922588 11.0096766264204
334.838 0.554612318058819 0.91091783189547 0.0980279640243935 0.741275036026956 -0.718282291629301 10.9709941558983
334.858 0.486723031020019 0.917832222847427 0.100146938190514 0.76439516649283 -0.685821515245589 10.9312254811668
334.878 0.420489554800809 0.919397530894226 0.101876089662207 0.786068209948844 -0.653077383569152 10.8907097727252
334.898 0.35634571636072 0.916155748563489 0.103252310684783 0.806266055212041 -0.620117395512963 10.8497876402146
334.918 0.294627185047748 0.908710246575307 0.104324552446196 0.824778118172252 -0.586900089520726 10.8087909710111
334.938 0.235574524110424 0.89772146740536 0.105108886954252 0.841352625678747 -0.553374009362952 10.7679896737433
334.958 0.179381843761902 0.88378580688667 0.105600125227356 0.856158504499012 -0.519715293804275 10.7274730267899
334.978 0.12624146190943 0.867312342961597 0.105813383688994 0.869373495549924 -0.486130932964961 10.6873184853204
334.998 0.076342528122947 0.848513598705883 0.105787009500783 0.881077120338434 -0.452791959970793 10.647630311244
335.018 0.0298642680277767 0.827411228049366 0.105551784125172 0.891292916233648 -0.419837327477314 10.6085269258817
335.038 -0.0130295784641976 0.803858746710363 0.105105024543986 0.900057090254201 -0.387361452534608 10.570122102331
335.058 -0.0522280488416283 0.777744292690818 0.104430255823675 0.907524046815121 -0.355371796109943 10.5324984302331
335.078 -0.0877124977967612 0.749190726606784 0.103536290630458 0.91385117729091 -0.323857964645453 10.4957308899145
335.098 -0.119564361839855 0.718573752939165 0.102459902686552 0.919119642983866 -0.292830355745522 10.4598939036304
335.118 -0.147969517964704 0.686524947702776 0.101241392509116 0.923283631901713 -0.262342020045014 10.4250618840165
335.138 -0.173211372686912 0.65391113430086 0.099901190734454 0.926233336706803 -0.232464139239971 10.3912971132545
335.158 -0.195594015152278 0.621569227052426 0.098443781837833 0.92811072625718 -0.203163558787527 10.3586215609257
335.178 -0.215367270384149 0.590038284643572 0.096879534194535 0.929019610163633 -0.174434842985244 10.3270755128152
335.198 -0.232722216293961 0.559534317156259 0.0952311247971749 0.928981381221705 -0.146332884122897 10.2967254703581
335.218 -0.247796011181776 0.529950946370077 0.0935228634302751 0.928002286021607 -0.118960656171539 10.2676546587973
335.238 -0.260679450937507 0.500884452432759 0.0917676060390247 0.926122174026886 -0.092415105718151 10.2399289532658
335.258 -0.27145651788608 0.471897487491402 0.0899689944303548 0.923406517610283 -0.0666499901721036 10.2135163260074
335.278 -0.28024236868261 0.442781544034795 0.088133493254163 0.919973669843933 -0.0416054435567786 10.1883624482644
335.298 -0.287187629602745 0.413580204723517 0.0862718034377008 0.915960471607026 -0.0172570308389826 10.1644190192064
335.318 -0.292479485650615 0.38458962519803 0.0843928493796856 0.911470691203272 0.00637772348329152 10.1416474183961
335.338 -0.296338181880295 0.35633991658565 0.0825007059556972 0.906555199841241 0.0292656024431773 10.1200147940589
335.358 -0.298983192189948 0.329379314552752 0.0805981406883077 0.901274787515074 0.0514524223938666 10.0994763946064
335.378 -0.300600172321363 0.304057249745558 0.07869293511846 0.895633839738925 0.0729702691872197 10.0800006530702
335.398 -0.301338797420468 0.280504006626212 0.0767989041959409 0.889593697022786 0.0938127054074175 10.0615720464648
335.418 -0.301315121067195 0.258630596326785 0.0749284344407821 0.883116570550116 0.113942196416929 10.044185564741
335.438 -0.300615452620815 0.238143151976584 0.0730835367328264 0.876196562708266 0.133320161149645 10.0278289899975
335.458 -0.299313930950325 0.218698465532517 0.0712586091893637 0.868852506339853 0.151982142015601 10.0124425651418
335.478 -0.297488757661036 0.200059094122873 0.0694498051162475 0.861155091980445 0.169970241470903 9.99795727714619
335.498 -0.295223636117195 0.182107216239682 0.0676567960908084 0.85321461037257 0.187309169609841 9.98430877304092
335.518 -0.292608103001357 0.164844604444283 0.0658814981406193 0.845156408134371 0.204005199576518 9.97143871590793
335.538 -0.28973610585636 0.148384663272207 0.064127882136908 0.837079032170387 0.220054374438242 9.95929320576989
335.558 -0.286690433112679 0.132863914002425 0.0624012241467023 0.82898527847375 0.23547092790514 9.94781473345249
335.578 -0.283527217466038 0.118353315098881 0.060707477022594 0.820841979705249 0.25026439014275 9.93694949725496
335.598 -0.280274690812459 0.104850070609647 0.0590528861781579 0.81261205281715 0.264436014212816 9.92664843715603
335.618 -0.276933930917972 0.0922776575595164 0.057440614254792 0.804268866551624 0.277984269094057 9.91686543930682
335.638 -0.27348160168358 0.0804909577982655 0.0558674504199112 0.795805432433632 0.2909147246502 9.90756958405805
335.658 -0.2698920078344 0.0693314676733562 0.0543269833446244 0.787228462419723 0.303256422485277 9.8987860181208
335.678 -0.266158698333291 0.0586823583880403 0.0528151237960343 0.778568633586348 0.315044912566973 9.89055435800594
335.698 -0.262296425470596 0.0484734257293919 0.0513306636388215 0.769876295914704 0.326313356269836 9.88291533109009
335.718 -0.258341344001946 0.0386811667493882 0.0498741617235278 0.761212199234135 0.33708832885504 9.87591137799936
335.738 -0.254349207684691 0.0293267232757316 0.0484473854347753 0.752631004066045 0.347383908152679 9.86955423245425
335.758 -0.250374738925125 0.0204518724467197 0.0470526508698451 0.744152517514117 0.357195498490066 9.86372613264556
335.778 -0.246450992088614 0.0120948987673847 0.0456923171012892 0.735782546153575 0.366510329404111 9.85827847389215
335.798 -0.242587560924082 0.0042883566070548 0.0443683651837527 0.727521023645688 0.375314093330221 9.85306439756723
335.818 -0.238770903343711 -0.00294090360229801 0.0430806956319368 0.719362871684902 0.38359545819351 9.84793837553019
335.838 -0.234966236440788 -0.00957251479728506 0.0418258468641704 0.711299136648741 0.391353636331401 9.84279989401491
