# timestamp vx vy vz
314.118 -1.28460618037708 -1.21230886688154 0.00196486850141947
314.138 -1.2837129018028 -1.21644724458016 0.00203952059367552
314.158 -1.28336976401192 -1.22011467528827 0.00210484586400864
314.178 -1.28358769702037 -1.22331308026956 0.00215982414021625
314.198 -1.28437712994249 -1.22604358791517 0.00220674696586004
314.218 -1.28574799099102 -1.22830653374374 0.00225121760025254
314.238 -1.28770971242914 -1.23010143837464 0.00230184475487331
314.258 -1.29027128504218 -1.23142676523349 0.0023668736938149
314.278 -1.29344131260954 -1.23227967825767 0.00245081733424484
314.298 -1.29722801685654 -1.23265601986964 0.00255414998279971
314.318 -1.30163923745456 -1.23255031097686 0.00267330733558996
314.338 -1.30668243531385 -1.23195575723672 0.00280094511446403
314.358 -1.31236472880598 -1.23086431797063 0.00292878406591079
314.378 -1.31869292998617 -1.22926677507808 0.00305045495994811
314.398 -1.32567354788622 -1.22715273930153 0.00316175722639439
314.418 -1.33331278851453 -1.22451065022643 0.00326065895486649
314.438 -1.34161653273339 -1.22132774398967 0.00334724822501639
314.458 -1.35059009290972 -1.21758969807284 0.00342319773914075
314.478 -1.36023796956563 -1.21328027609538 0.00349122945479438
314.498 -1.37056382925583 -1.20838129552309 0.00355506591502341
314.518 -1.38157050456761 -1.20287262766813 0.00361943024836636
314.538 -1.39325998657474 -1.19673219645578 0.00368989806038688
314.558 -1.40563334183102 -1.18993596485893 0.00377126824047077
314.578 -1.41869062936363 -1.18245792133261 0.00386593376863933
314.598 -1.43243089312717 -1.17427007858074 0.00397373360707695
314.618 -1.4468521620036 -1.16534247355612 0.00409195270012314
314.638 -1.46195140392052 -1.15564316173259 0.00421550309915164
314.658 -1.4777240211522 -1.1451381540984 0.00433891633608554
314.678 -1.49416334562054 -1.13379135414964 0.00445833579693375
314.698 -1.51126059301332 -1.12156455216232 0.00457169784665756
314.718 -1.52900486278425 -1.10841742519243 0.00467873182916523
314.738 -1.54738309804733 -1.09430752653588 0.00478085466800338
314.758 -1.56637964441507 -1.07919016978842 0.00488001147393024
314.778 -1.58597580883672 -1.06301831290559 0.00497751615248206
314.798 -1.60614981949267 -1.04574254766266 0.00507394600467129
314.818 -1.62687682579442 -1.02731109965467 0.00516914172697674
