# timestamp wx wy wz ax ay az
15.7 -0.192659919017434 0.115983140209479 1.66842378772822e-05 0.00010883866944747 0.000159366360086455 9.82090860863902
15.72 -0.197233570809724 0.113578858251652 1.96568560098315e-05 0.000119919575800202 0.000172904144002631 9.82339822754548
15.74 -0.20215828878131 0.110895951750881 2.23857118335675e-05 0.000130747756043118 0.000186397929926585 9.82612075641333
15.76 -0.20743241162512 0.107912533846073 2.54865547578323e-05 0.000137189866409905 0.000200066604721022 9.82908587971086
15.78 -0.2130534368913 0.104604817701393 2.95857215942491e-05 0.000139681661619914 0.000214224707330901 9.83230429602227
15.8 -0.219018024153326 0.100947110890452 3.44955307646999e-05 0.00014362329341918 0.000229411582109484 9.83578782687023
15.82 -0.225321942284567 0.0969118295889646 3.93347301718091e-05 0.000154954283920657 0.000245994525551574 9.83954928366049
15.84 -0.23195959031057 0.0924694433692904 4.38170950963543e-05 0.000166093718997389 0.000262773041867337 9.84360175016687
15.86 -0.238923534121116 0.0875883844607801 4.87895206151156e-05 0.000170840831673957 0.000278852336899643 9.84795931408652
15.88 -0.246204476725698 0.0822350085273313 5.51723847966694e-05 0.000169643982936257 0.00029449194948386 9.85263745807903
15.9 -0.253791263328099 0.0763735827322567 6.27392543231945e-05 0.000170058452877847 0.000311422687657131 9.85765323641722
15.92 -0.261670805877266 0.0699663267327546 7.02419938587622e-05 0.000180545186857381 0.000331349072742126 9.86302494103015
15.94 -0.269827358847178 0.0629735257779455 7.72526468813548e-05 0.000190940836078651 0.000350911627385375 9.86877058652714
15.96 -0.278241811953432 0.0553535844763785 8.4966752044755e-05 0.000192903408286885 0.000367718126636774 9.87490944462941
15.98 -0.286891638358783 0.047062978983272 9.46981199398253e-05 0.000187035097338736 0.000382778965273223 9.88146279136694
16 -0.295750900432063 0.0380562355484705 0.000106120183593797 0.000183361382617389 0.000401120343094308 9.88845418884231
16.02 -0.304790153405177 0.0282860281208386 0.00011744693804648 0.000193160503107484 0.00042776603446526 9.89590871556231
16.04 -0.31397546273336 0.0177036950568084 0.00012808189242129 0.000203440253437742 0.000454599157464264 9.90384981465819
16.06 -0.323267432611397 0.00625965642711495 0.000139754930470647 0.000203268738453471 0.000475291324946614 9.91230240243364
16.08 -0.332621123167783 -0.00609663686952854 0.000154332946115896 0.000192771301602279 0.000490988375228152 9.92129428606177
16.1 -0.341986054078967 -0.0194167393804571 0.00017128833863976 0.000183503361542825 0.00051135415450887 9.93085660969908
16.12 -0.351306109606544 -0.033753011130921 0.000188015977206455 0.00018889766759958 0.000546516155329024 9.94102233395761
16.14 -0.3605184499137 -0.0491573522178608 0.00020370153109922 0.000194715049859934 0.00058102640930896 9.9518203000404
16.16 -0.369552409879465 -0.0656801042532969 0.000220906253731538 0.000188852218154401 0.000602796924632054 9.96328098969881
16.18 -0.378329379712761 -0.0833700992253043 0.000242307839024119 0.000171223296763501 0.000613795208033507 9.9754390592394
16.2 -0.386762799980583 -0.102274719080332 0.000267011128337181 0.000153758886342892 0.00063162750556689 9.98833404522619
16.22 -0.394758131624536 -0.122439533978158 0.000291123287844179 0.000150762467648724 0.000675122558930097 10.0020075198759
16.24 -0.402212128490221 -0.143905893261589 0.000313510902514294 0.000149659582315553 0.000718206737733984 10.0164922805634
16.26 -0.409012030427875 -0.166708794295333 0.000338031543133537 0.000139109804075666 0.000740235975237091 10.0318226138639
16.28 -0.415035404045121 -0.190876934036677 0.000368590304171869 0.000117739542316864 0.000744113156773862 10.0480387161075
16.3 -0.42015011475483 -0.216432805021108 0.000403663610640525 9.33058928176411e-05 0.00075838578892673 10.0651878113688
16.32 -0.424214500402044 -0.243392119548713 0.000437305646249896 7.63983379565292e-05 0.000813983601760881 10.0833191607218
16.34 -0.427077988469747 -0.271760060401679 0.000467863529406716 6.25836990477691e-05 0.000870589104713826 10.1024652636606
16.36 -0.428581468796807 -0.301527981817694 0.000501207601441159 4.63280718000503e-05 0.000895552566771429 10.122659219872
16.38 -0.428557082438055 -0.332673500131319 0.000543150897258274 2.40074322749861e-05 0.00089151686452027 10.1439421512499
16.4 -0.426828139102821 -0.365160644585482 0.000591169167248861 -8.41390516198581e-06 0.000898651422256203 10.1663649665723
16.42 -0.423209737169514 -0.398939082625902 0.000636049290589927 -5.20273277159755e-05 0.000961659913862989 10.1899803391502
16.44 -0.417512230146558 -0.43393962674671 0.000675223864144756 -9.13827414757429e-05 0.0010266698020745 10.2148122068944
16.46 -0.409544077006096 -0.470070427948862 0.000717633589794416 -0.000116642835908731 0.00104939208691074 10.2408829885937
16.48 -0.399111507203338 -0.507217207781504 0.000772101797390147 -0.000133916559748148 0.0010317095096477 10.2682253111706
16.5 -0.386018315883098 -0.545243483964276 0.000834645256305574 -0.00016967594341788 0.00102299838855446 10.2968847630724
16.52 -0.370067254222723 -0.583989769579239 0.000890937865381878 -0.000248817321135797 0.00107994093178676 10.3269081192749
16.54 -0.351067639500415 -0.623270377412173 0.00093672999598114 -0.000321776130818296 0.00114347461067699 10.3582972959111
16.56 -0.328841583370786 -0.662871150870854 0.000985482554813568 -0.00035210502011529 0.00116351696322414 10.3910485139293
16.58 -0.303223263072889 -0.70254999533769 0.00105077302987517 -0.00034977244427592 0.00113901201925004 10.4251696072622
16.6 -0.274058457469247 -0.742037180500463 0.00112677262360193 -0.000377659713824086 0.00111645531722065 10.4606842430102
16.62 -0.241207029516178 -0.781034923336499 0.00119146393892419 -0.000500363005128124 0.00115222026733475 10.4976167683733
16.64 -0.204554398206798 -0.819218940054066 0.00123753682403349 -0.000620072355348777 0.00120221905314022 10.5359291609417
16.66 -0.164020210904872 -0.85624094824525 0.00128476124672907 -0.000660855505227986 0.00122526076085316 10.575570547669
16.68 -0.119556576475664 -0.891729543824046 0.00135409581232362 -0.000634170669764456 0.00121243062839571 10.6165003457673
16.7 -0.0711470928777774 -0.925290503178388 0.00143792663448084 -0.000645918898551257 0.0011804428099671 10.6586945175236
16.72 -0.01881057210723 -0.956507407336197 0.00150338396353623 -0.000810354892686549 0.00115748117144371 10.7021306611965
16.74 0.0373871094955239 -0.984951245296188 0.00153785740083553 -0.000980454135724229 0.00115313875098955 10.7467155157765
16.76 0.0973262430980919 -1.01019027039372 0.00156923366986123 -0.00103709939298646 0.00116707120975529 10.7923331051291
16.78 0.160837181472291 -1.03179074379036 0.00162941173895777 -0.000987110249168865 0.00118261103848744 10.8388705913128
16.8 0.227702195657985 -1.04931694735359 0.00171002396162589 -0.000967130333965338 0.00115359555874062 10.8862270189892
16.82 0.297650644692599 -1.06233360585869 0.00176410987505093 -0.00113273983480999 0.00104119683602744 10.9343068277041
16.84 0.370352655891859 -1.07042323759285 0.00177046852125867 -0.00131985478191332 0.000949706485033341 10.982959330076
16.86 0.445420901393322 -1.0732015246638 0.00176620673172887 -0.00138894736715023 0.000954410359287339 11.0319997662486
16.88 0.522417707147756 -1.07031634525924 0.00179824305668781 -0.00133629469265073 0.00103218254488857 11.0812297427814
16.9 0.600858183670545 -1.0614468022524 0.00186002198292087 -0.00128989405298441 0.00104375090206324 11.1304485404776
16.92 0.68020475675963 -1.04630817867418 0.00188837655211943 -0.00140648223227879 0.000843875804487138 11.179468500202
16.94 0.759870608711717 -1.02467193131714 0.00184962233416054 -0.00156986512889845 0.000648227255457212 11.2281053781541
16.96 0.839234080426624 -0.996379125812393 0.00178963388304819 -0.00166787025066562 0.000628335348702325 11.2761308654465
16.98 0.917648991258448 -0.961335074070534 0.00177381207271453 -0.00167537378842098 0.000765425442424805 11.3232732662428
17 0.994449095945172 -0.919506174029878 0.00180142040829881 -0.00163977903162715 0.000834425575484132 11.3692305620781
17.02 1.06894286595189 -0.870927892262403 0.00179330345403994 -0.00164111220261276 0.000580778208207455 11.4137242764791
17.04 1.14042539651631 -0.815720110711391 0.00169969356522457 -0.00169668234618969 0.000290380631361886 11.4565943408205
17.06 1.20820228536297 -0.754088971888567 0.00157245923031216 -0.00179550579452625 0.000209732116409678 11.4976346687306
17.08 1.27160103865695 -0.68631441993154 0.00149662421035296 -0.00189810691931713 0.000346135837004713 11.5365554069816
17.1 1.32997606445286 -0.612743419002386 0.0014817556678194 -0.00191563810747941 0.000461574952828836 11.5729956332646
17.12 1.38270498916615 -0.533800848749811 0.00143611510237132 -0.00177823567782687 0.000259941307475031 11.6066240016503
17.14 1.42920203042437 -0.449996497849312 0.00129200981778117 -0.00167627146325922 -1.99435539069426e-05 11.6373744928837
17.16 1.46894072881909 -0.361910817083488 0.00110230045044001 -0.00174404214233448 -0.000148192003925407 11.665144597439
17.18 1.5014623182596 -0.270174650791752 0.00096902076285461 -0.00194648174426382 -8.67118219486374e-05 11.6897079576177
17.2 1.52637939355378 -0.17545799901161 0.000915379206681068 -0.00206261978858713 1.78541558961132e-05 11.710723825867
17.22 1.54337509259284 -0.0784826238603702 0.000843583692772601 -0.00185831281551851 -5.20689129099861e-05 11.7278768092502
17.24 1.55221083362666 0.0199767487954279 0.000669435784317118 -0.00163747622624721 -0.000227077265245734 11.7412461396595
17.26 1.55273680276849 0.119118023578173 0.000440791579524441 -0.00164610944759391 -0.00039894984563793 11.7508948390198
17.28 1.54489312892416 0.218137192041014 0.000270084189088731 -0.00187432196939952 -0.000504132082520314 11.7567374610271
17.3 1.52870985218069 0.316243295072512 0.00019469179716965 -0.00205491227780552 -0.000509514209907747 11.758543582455
17.32 1.50430939047672 0.412646304173265 0.000118811723124282 -0.00187389856803244 -0.000438016754820802 11.7560910199264
17.34 1.47190551690944 0.5065553908882 -5.34422390464673e-05 -0.00161494948099272 -0.00043958412749967 11.7496060662186
